Наименование диода|Uобр max, ВUобр, и max, В|Iпр max, мАIпр, ср max, мАIпр, и max, мА|fд max, кГц|Uпр, В, не более (при Iпр, мА)|Iобр, мкА, не более(при Uобр, В)|tвос, обр, мкс|Cд, пФ(при Uобр, В)
КД2995Б|70*|25 А|20...200|1,1 (30 А)|10 (70 В)|<=0,05|-
КД2995В|100*|25 А|20...200|1,1 (30 А)|10 (100 В)|<=0,05|-
КД2995Г|150*|25 А|20...200|1,1 (30 А)|10 (150 В)|<=0,05|-
КД2995Д|200*|25 А|20...200|1,1 (30 А)|10 (200 В)|<=0,05|-
КД2995Е|100*|25 А|10...200|1,1 (30 А)|10 (100 В)|<=0,01|-
КД2996А|50*|50 А|20...200|1 (50 А)|25 (50 В)|<=0,06|-
КД2996Б|70*|50 А|20...200|1 (50 А)|25 (70 В)|<=0,06|-
КД2996В|100*|50 А|20...200|1 (50 А)|25 (100 В)|<=0,06|-
КД2997А|200; 250*|30 А; 100* А|200|1 (30 А)|200 (200)|<=0,2|-
КД2997Б|100; 200*|30 А; 100* А|200|1 (30 А)|200 (100)|<=0,2|-
КД2997В|50; 100*|30 А; 100* А|200|1 (30 А)|200 (50)|<=0,2|-
КД2998А|15*|30 А|10...200|0,6 (30 А)|20 мА (15 В)|-|-
КД2998Б|20*|30 А|10...200|0,6 (30 А)|20 мА (20 В)|-|-
КД2998В|25*|30 А|10...200|0,7 (30 А)|20 мА (25 В)|-|-
КД2998Г|35*|30 А|10...200|0,7 (30 А)|20 мА (35 В)|-|-
КД2998Д|30*|30 А|10...200|0,7 (30 А)|20 мА (30 В)|-|-
КД2999А|200; 250*|20 А; 100* А|100|1 (20 А)|200 (250)|<=0,2|-
КД2999Б|100; 200*|20 А; 100* А|100|1 (20 А)|200 (200)|<=0,2|-
КД2999В|50; 100*|20 А; 100* А|100|1 (20 А)|200 (100)|<=0,2|-
Д302|200|1 А|1|0,3 (1 А)|800 (200)|-|-
Д304|150|3 А|1|0,35 (3 А)|1000 (150)|-|-
Д303|100|5 А|1|0,3 (5 А)|2000 (100)|-|-
Д305|50|10 А|1|0,35 (10 А)|2500 (50)|-|-
КД401А|75*|30|150|1 (5)|5(75)|2|1 (5)
КД401Б|75*|30|150|1 (10)|5 (75)|2|1,5 (5)
ГД402А|15|30|60 МГц|0,45 (15)|50 (10)|-|0.8 (5)
ГД402Б|15|30|10 МГц|0,45 (15)|50 (10)|-|0,5 (5)
ГД403А|5|5|465|0,5 (5)|-|-|-
ГД403Б|5|5|465|0,5 (5)|-|-|-
ГД403В|5|5|465|0,5 (5)|-|-|-
КД407А|24|50|(50...300) МГц|-|0,5 (24)|-|1 (5)
КД409А|24|50|(50...300) МГц|-|0,5 (24)|-|2(15)
КД409А-9|40|100; 500*|-|1,2 (0,1 А)|0,5 (40 В)|-|1
КД409Б-9|40|50; 500*|-|1   (0,1 А)|0,5 (40 В)|-|1,5
КД410А|1000|50|-|2 (50)|3 мА (100)|3|-
КД410Б|600|50|-|2 (50)|3 мА (100)|3|-
КД411А|700*|2 А|30|1,4 (1 А)|700 (700)|25|-
КД411Б|600*|2 А|30|1,4 (1 А)|700 (600)|-|-
КД411В|500*|2 А|20|1,4 (1 А)|700 (500)|-|-
КД411Г|400*|2 А|30|2 (1 А)|700 (400)|-|-
КД411АМ|700*|2 А|30|1,4 (1 А)|300 (700)|0,5|-
КД411БМ|750*|2 А|30|1,4 (1 А)|300 (750)|0,5|-
КД411ВМ|600*|2 А|30|1,4 (1 А)|300 (600)|1,5|-
КД411ГМ|500*|2 А|30|2 (1 А)|300 (500)|1,5|-
КД412А|1000*|20* А|20|2 (10 А)|100 (1000)|1,5|-
КД412Б|800*|20* А|20|2 (10 А)|100 (800)|1,5|-
КД412В|600*|20* А|20|2 (10 А)|100 (600)|1,5|-
КД412Г|400*|20* А|20|2 (10 А)|100 (400)|1,5|-
КД413А|24|20*|100 МГц|1 (20)|-|-|0,7
КД413Б|24|20*|100 МГц|1 (20)|-|-|0,7
КД416А|400|300; 15* А|0,5|3 (15 А)|400 (400)|-|-
КД416Б|200|300; 15* A|0,5|3 (15 А)|200 (200)|-|-
КД417А|24|20|-|1 (20)|-|-|0,4
КД419А|15|10|400 МГц|0,4 (1)|10 (15)|-|<1,5
КД419Б|30|10|400 МГц|0,4 (1)|10 (30)|-|<1,5
КД419В|50|10|400 МГц|0,4 (1)|10 (50)|-|<1,5
КД419Г|15|10|400 МГц|0,4 (1)|10 (15)|-|<2
КД419Д|10|10|400 МГц|0,4 (1)|10 (10)|-|<1,0
КД424А|250|350 (2* А)|10 МГц|1,1 (300)|0,1 (250)|<1000|<10
КД424Б|200|350 (2* А)|10 МГц|1,1 (300)|0,1 (200)|<1000|<10
КД424В|150|350 (2* А)|10 МГц|1,1 (300)|0,1 (150)|<1000|<10
КД503А|30|20|350 МГц|1 (10)|10 (30)|0,01|5
КД503Б|30|20|350 МГц|1,2 (10)|10 (30)|0,01|2,5
КД503В|10|10 (2 A*)|-|<1,3 (10)|<1 (10)|<50|<6
КД504А|40|240|-|1,2 (100)|2 (40)|-|-
ГД507А|20|16|-|0,5 (5)|50 (20)|0,1|0,8 (5)
ГД508А|8|10; 30*|-|0,75 (10 мА)|60 (8 В)|-|0,75 (0,5 В)
ГД508Б|8|10; 30*|-|0,65 (10 мА)|100 (8 В)|-|0,75 (0,5 В)
Д509A|50|100|-|1,1 (0,1 А)|5 (50 В)|0,004|<=4 (0 В)
КД510А|50|200|-|1,1 (0,2 А)|5 (50 В)|<=0,004|<=4 (0 В)
КД512А|15|20|-|1 (1)|5 (15)|0,001|1 (5)
КД513А|50|100|-|1,1 (100)|5 (50)|0,004|4
КД514А|10|10|-|1 (10)|5 (6)|-|0,9
АД516А|10|2|-|1,5 (2)|2 (10)|0,001|0,5
АД516Г|10|2|-|1,5 (2)|2 (10)|0,001|0,35
КД518А|-|100; 1,5* А|-|0,57 (1)|-|-|-
КД519А|30|30|-|1,1 (100)|5 (30)|-|4,0
КД519Б|30|30|-|1,1 (100)|5 (30)|-|2,5
КД520А|15|20|-|1 (20)|1 (15)|0,004|3,0 (5)
КД521А|75|50|-|1 (50)|1 (75)|0,004|4,0 (0)
КД521Б|60|50|-|1 (50)|1 (60)|0,004|4,0 (0)
КД521В|50|50|-|1 (50)|1 (50)|0,004|4,0 (0)
КД521Г|30|50|-|1 (50)|1 (30)|0,004|4,0 (0)
КД521Д|12|50|-|1 (50)|1 (12)|0,004|4,0 (0)
КД521А2|75|50|-|1 (50 мА)|1 (75 В)|4 нс|4
КД521Б2|50|50|-|1 (50 мА)|1 (75 В)|4 нс|4
КД522А|30|100|-|1,1 (100)|2 (30)|0,004|4,0 (0)
КД522Б|50|100|-|1,1 (100)|5 (50)|0,004|4,0 (0)
КД522А2|30|100|-|1,1 (100 мА)|1 (30 В)|4 нс|4
КД522Б2|50|100|-|1,1 (100 мА)|1 (50 В)|4 нс|4
КД529А|2000|8 А|5|3,5 (20 А)|1,5 мА (2000 В)|2|-
КД529Б|2000|8 А|5|3,5 (20 А)|1,5 мА (2000 В)|3|-
КД529В|1600|8 А|5|3,5 (20 А)|1,5 мА (1600 В)|2|-
КД529Г|1600|8 А|5|3,5 (20 А)|1,5 мА (1600 В)|3|-
КД629АС|90|200; 800*||1 (200)|0,1 (90)||<=35 (0)
КД704АС|70|100; 500*||1,3 (100)|<3 (70)|<=45*|< 1,5(0)
КД706АС9|70|100; 1,5* А||1 (100 мА)|2,5 (70 В)|2,5 нс|2,4
КД707АС9|70|100; 1,5* А||1 (100 мА)|2,5 (70 В)|2 нс|1,8
КД803АС9|50|200; 1,5* А||1,1 (0,2 мА)|1 (50 В)||4
КД805А|75|200; 450*|1 МГц|1 (100)|<=5 (75)|<=4|<=2
КД808А|25; 30*|200; 500*||0,4 (10)|0,5 (25)|<=5|<=10
КД811А|75|-|-|1 (50 мА)|-|4 нс|3
КД811Б|50|-|-|1 (100 мА)|-|4 нс|3
КД811В|50|-|-|1 (50 мА)|-|4 нс|3
КД811А-9|75|-|-|1 (50 мА)|-|4 нс|3
КД811Б-9|50|-|-|1,1 (100 мА)|-|4 нс|3
КД811В-9|50|-|-|1 (50 мА)|-|4 нс|3
КД901А-1|10|5; 100*|10 МГц|0,7 (1)|0,2 (10)|<20|<=4 (0,1)
КД901Б-1|10|5; 100*|10 МГц|0,7 (1)|0,2 (10)|<20|<=4 (0,1)
КД901В-1|10|5; 100*|10 МГц|0,7 (1)|0,2 (50)|<20|<=4 (0,1)
КД901Г-1|10|5; 100*|10 МГц|0,7 (1)|0,2 (10)|<20|<=4 (0,1)
КД903А|20|75|-|1,2 (75)|0,5 (20)|150|150 (5)
КД903Б|20|75|-|1,2 (75)|0,5 (20)|150|150 (5)
КД904А-1|10; 12*|5; 100*|10 МГц|0,8 (1)|0,2 (10)|<=10|<=2 (0,1)
КД904Б-1|10; 12*|5; 100*|10 МГц|0,8 (1)|0,2 (10)|<=10|<=2 (0,1)
КД904В-1|10; 12*|5; 100*|10 МГц|0,8 (1)|0,2 (10)|<=10|<=2 (0,1)
КД904Г-1|10; 12*|5; 100*|10 МГц|0,8 (1)|0,2 (10)|<=10|<=2 (0,1)
КД904Д-1|10; 12*|5; 100*|10 МГц|0,8 (1)|0,2 (10)|<=10|<=2 (0,1)
КД904Е-1|10; 12*|5; 100*|10 МГц|0,8 (1)|0,2 (10)|<=10|<=2 (0,1)
КД906А|75|100|100|1 (50)|2 (75)|1|20 (5)
КД906Б|50|100|100|1 (50)|2 (50)|1|20 (5)
КД906В|30|100|100|1 (50)|2 (30)|1|20 (5)
КД906Г|75|100|100|1 (50)|2 (75)|1|40 (5)
КД906Д|50|100|100|1 (50)|2 (50)|1|40 (5)
КД906Е|30|100|100|1 (50)|2 (30)|1|40 (5)
КД907Б-1|40; 60*|50; 700*|10 МГц|1 (50)|5 (40)|-|<=5 (0)
КД907Г-1|40; 60*|50; 700*|10 МГц|1 (50)|5 (40)|-|<=5 (0)
КД908А|40; 60*|200; 1,5* А|-|1,2 (200)|5 (40)|<=30|<=5 (0)
КД908АМ|40; 60*|200; 1,5* А|10 МГц|1,2 (200)|1 (40)|<=20|<=5 (0)
КД909А|40|200|-|1,2 (200)|10 (40)|70|5
КД910А-1|5*|10*|-|0,8 (1)|0,5 (5)|<=5|<=1,5 (0,1)
КД910Б-1|5*|10*|-|0,8 (1)|0,5 (5)|<=5|<=1,5 (0,1)
КД910В-1|5*|10*|-|0,8 (1)|0,5 (5)|<=5|<=1,5 (0,1)
КД911А-1|5|10|-|0,6 (0.05)|0,5 (5)|<=160|-
КД911Б-1|5|10|-|0,6 (0.05)|0,5 (5)|<=160|-
КД912А-3|5|3,5; 10*|10 МГц|0,5 (0,05)|0,2 (5)|<=5|<=1,8 (0,1)
КД912Б-3|5|3,5; 10*|10 МГц|0,5 (0,05)|0,2 (5)|<=30|<=1,8 (0,1)
КД912В-3|5|3,5; 10*|10 МГц|0,5 (0,05)|0,2 (5)|<=80|<=1,8 (0,1)
КД913А-3|10|5; 200*|10 МГц|0,48 (0,01)|0,2 (10)|<=10|<=4 (0,1)
КД914А|20|20|-|1 (5)|1 (20)|-|-
КД914Б|20|20|-|1 (5)|1 (20)|-|-
КД914В|20|20|-|1 (5)|1 (20)|-|-
КД917А|40|200|-|1,2 (200)|5 (50)|10|40 (0,05)
КД917АМ|40; 60*|200; 1,5* А|-|1,2 (200)|1 (40)|<=40|<=6(0)
КД918Б-1|40|50|10 МГц|1 (50)|5 (40)|<=4|<=6(0)
КД918Г-1|40|50|10 МГц|1 (50)|5 (40)|<=4|<=6(0)
КД919А|40|100|-|1,35 (100)|1 (40)|100|6 (10)
КД922А|18|50|10 МГц|1 (50)|0,5 (15)|-|1
КД922Б|21|35|10 МГц|1 (35)|0,5 (15)|-|1
КД922В|10|10|10 МГц|1 (10)|0,5 (10)|-|1
КД923А|14|100|0,7 МГц|1 (100)|5 (10)|-|3,6
Д1004|2 кВ|100|1|5 (100)|100 (2 кВ)|-|-
Д1005А|4 кВ|50|1|5 (50)|100 (4 кВ)|-|-
Д1005Б|4 кВ|100|1|10 (100)|100 (4 кВ)|-|-
Д1006|6 кВ|100|1|10 (100)|100 (6 кВ)|-|-
Д1007|8 кВ|75|1|10 (100)|100 (8 кВ)|-|-
Д1008|10 кВ|50|1|10 (100)|100 (10 кВ)|-|-
Д1009|2 кВ|300|1|2,6 (300)|100 (2 кВ)|-|-
Д1009А|1 кВ|300|1|1,5 (300)|100 (1 кВ)|-|-
д1011|500|300|1|1,5 (300)|100 (500)|-|-
КДС111А|300|200|20|1,2 (100)|3 (300)|-|-
КДС111Б|300|200|20|1,2 (100)|3 (300)|-|-
КДС111В|300|200|20|1,2 (100)|3 (300)|-|-
КДС413А|20; 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС413Б|20; 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС413В|20; 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС414А|20; 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС414Б|20; 30*|10; 100*|-|0.75 (1)|0,01 (10)|0,04|3 (0)
КДС414В|20: 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС415А|20; 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС415Б|20; 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС415В|20; 30*|10; 100*|-|0,75 (1)|0,01 (10)|0,04|3 (0)
КДС523А|50|20|-|1 (20)|5 (50)|4|2 (0,1)
КДС523Б|50|20|-|1 (20)|5 (50)|4|2 (0,1)
КДС523В|50|20|-|1 (20)|5 (50)|4|2 (0,1)
КДС523Г|50|20|-|1 (20)|5 (50)|4|2 (0,1)
КДС523АМ|50|20|-|1 (20)|5 (50)|4 нс|2 (0,1)
КДС523БМ|50|20|-|1 (20)|5 (50)|4 нс|2 (0,1)
КДС523ВМ|50|20|-|1 (20)|5 (50)|4 нс|2 (0,1)
КДС523ГМ|50|20|-|1 (20)|5 (50)|4 нс|2 (0,1)
КДС525А|15|20; 200*|-|<=0,9 (2)|<=1 (10)|<=5 нс|<=8 (5)
КДС525Б|15|20; 200*|-|<=0,9 (2)|<=1 (10)|<=5 нс|<=8 (5)
КДС525В|15|20; 200*|-|<=0,9 (2)|<=1 (10)|<=5 нс|<=8 (5)
КДС525Г|15|20; 200*|-|<=0,9 (2)|<=1 (10)|<=5 нс|<=8 (5)
КДС525Д|15|20; 200*|-|<=0,9 (2)|<=1 (10)|<=5 нс|<=8 (5)
КДС525Е|20|20; 200*|-|<=0,9 (5)|<=1 (20)|<=5 нс|<=8 (5)
КДС525Ж|20|20; 200*|-|<=0,9 (5)|<=1 (20)|<=5 нс|<=8 (5)
КДС525И|20|20; 200*|-|<=0,9 (5)|<=1 (20)|<=5 нс|<=8 (5)
КДС525К|20|20; 200*|-|<=0,9 (5)|<=1 (20)|<=5 нс|<=8 (5)
КДС525Л|20|20; 200*|-|<=0,9 (5)|<=1 (20)|<=5 нс|<=8 (5)
КДС526А|15|20|-|1 (5)|-|5 нс|5
КДС526Б|15|20|-|1 (5)|-|5 нс|5
КДС526В|15|20|-|1 (5)|-|5 нс|5
КДС627А|50|200|-|1,3 (200)|2 (50)|40|5
КДС628А|50|200|-|1,3 (200)|5 (50)|50|32
КЦ105В|6000|100|10|7 (100)|100 (6000)|3|-
КЦ105Г|7000|75|10|7 (75)|100 (8000)|3|-
КЦ105Д|8500|50|10|7 (50)|100 (10000)|3|-
КЦ106А|4000|10|20|25 (10)|5 (4000)|3,5|-
КЦ106Б|6000|10|20|25 (10)|5 (6000)|3,5|-
КЦ106В|8000|10|20|25 (10)|5 (8000)|3,5|-
КЦ106Г|10000|10|20|25 (10)|5 (10000)|3,5|-
КЦ106Д|2000|10|20|25 (10)|5 (2000)|3,5|-
КЦ108А|2000|100|50|<6(180)|< 150 (2000)|0,9|-
КЦ108Б|4000|100|50|<6 (180)|<150 (4000)|0,6...0,9|-
КЦ108В|6000|100|50|<10 (180)|<150 (6000)|0,6...0,9|-
КЦ109А|6000*|300|-|7 (300)|10 (6000)|1,5|-
КЦ111А|3000|1|20|12 (1)|0,1 (3000)|-|-
КЦ114А|4000|50; 1000*|10|<22 (50)|< 10 (4000)|2,5|-
КЦ114Б|6000|50; 1000*|10|<22 (50)|< 10 (6000)|2,5|-
КЦ117А|10000|1,3 А|-|<35 (10)|<1 (10000)|<300|-
КЦ117Б|12000|3 А|-|<35 (10)|<1 (12000)|<300|-
КЦ201А|2000|500|1|3 (500)|100 (2000)|-|-
КЦ201Б|4000|500|1|3 (500)|100 (4000)|-|-
КЦ201В|6000*|500|1|6 (500)|100 (6000)|-|-
КЦ201Г|8000*|500|1|6 (500)|100 (8000)|-|-
КЦ201Д|10000*|500|1|6 (500)|100 (10000)|-|-
КЦ201Е|15000*|500|1|10 (500)|100 (15000)|-|-
КЦ208А|7,5 кВ|300|-|<=9 (0,3 А)|100 (8 кВ)|-|-
КЦ401А|500*|400|1|2,5 (400)|500 (500)|-|-
КЦ401Г|500*|500|1|2,5 (500)|500 (500)|-|-
КЦ402Ж|600*|600|5|<=4 (600)|<=125 (600)|-|-
КЦ402И|500*|600|5|<=4 (600)|<=125 (500)|-|-
КЦ403А|600*|1000|5|4 (1000)|125 (600)|-|-
КЦ403Б|500*|1000|5|4 (1000)|125 (500)|-|-
КЦ403В|400*|1000|5|4 (1000)|125 (400)|-|-
КЦ403Г|300*|1000|5|4 (1000)|125 (300)|-|-
КЦ403Д|200*|1000|5|4 (1000)|125 (200)|-|-
КЦ403Е|100*|1000|5|4 (1000)|125 (100)|-|-
КЦ403Ж|600*|600|5|4 (600)|125 (600)|-|-
КЦ403И|500*|600|5|4 (600)|125 (500)|-|-
КЦ404А|600|1000|5|4 (1000)|125 (600)|-|-
КЦ404Б|500|1000|5|4 (1000)|125 (500)|-|-
КЦ404В|400|1000|5|4 (1000)|125 (400)|-|-
КЦ404Г|300|1000|5|4 (1000)|125 (300)|-|-
КЦ404Д|200|1000|5|4 (1000)|125 (200)|-|-
КЦ404Е|100|1000|5|4 (1000)|125 (100)|-|-
КЦ404Ж|600|600|5|4 (600)|125 (600)|-|-
КЦ404И|500|600|5|4 (600)|125 (500)|-|-
КЦ405А|600|1000|5|4 (1000)|125 (600)|-|-
КЦ405Б|500|1000|5|4 (1000)|125 (500)|-|-
КЦ405В|400|1000|5|4 (1000)|125 (400)|-|-
КЦ405Г|300|1000|5|4 (1000)|125 (300)|-|-
КЦ405Д|200|1000|5|4 (1000)|125 (200)|-|-
КЦ405Е|100|1000|5|4 (1000)|125 (100)|-|-
КЦ405Ж|600|600|5|4 (600)|125 (600)|-|-
КЦ405И|500|600|5|4 (600)|125 (500)|-|-
КЦ407А|400*|500; 3* А|20|2,5 (200)|5 (400)|5|-
КЦ409А|600*|3 А|1|2,5 (3000)|3 (600)|-|-
КЦ409Б|500*|3 А|1|2,5 (3000)|3 (500)|-|-
КЦ409В|400*|3 А|1|2,5 (3000)|3 (400)|-|-
КЦ409Г|300*|3 А|1|2,5 (3000)|3 (300)|-|-
КЦ409Д|200*|3 А|1|2,5 (3000)|3 (200)|-|-
КЦ409Е|100*|3 А|1|2,5 (3000)|3 (100)|-|-
КЦ409Ж|200*|6 А|1|2,5 (6000)|3 (200)|-|-
КЦ409И|100*|6 А|1|2,5 (6000)|3 (100)|-|-
КЦ410А|50*|3 А|-|1,2 (3000)|50 (50)|-|-
КЦ410Б|100*|3 А|1|1,2 (3000)|50 (100)|-|-
КЦ410В|200*|3 А|1|1,2 (3000)|50 (200)|-|-
КЦ412А|50*|1 А|-|1,2 (500)|50 (50)|-|-
КЦ412Б|100*|1 А|-|1,2 (500)|50 (100)|-|-
КЦ412В|200*|1 А|-|1,2 (500)|50 (200)|-|-
КЦ417А|600|1 А; 4* А|5|3 (1 А)|15 (600)|-|-
КЦ417Б|400|1 А; 4* А|5|3 (1 А)|15 (400)|-|-
КЦ417В|200|1 А; 4* А|5|3 (1 А)|15 (200)|-|-
КЦ418А|50|2,5 А|0,05... 1|2,3 (3 А)|50 (50 В)|-|-
КЦ418Б|100|2,5 А|0,05... 1|2,3 (3 А)|50 (100 В)|-|-
КЦ418В|200|2,5 А|0,05…1|2,3 (3 А)|50 (200 В)|-|-
КЦ418Г|400|2,5 А|0,05... 1|2,3 (3 А)|50 (400 В)|-|-
КЦ418Д|800|2,5 А|0,05…1|2,3 (3 А)|50 (800 В)|-|-
КЦ419А|50|2 А|1|2 (2 А)|2 (50 В)|-|-
КЦ419А1|50|5 А|1|2 (5 А)|2 (50 В)|-|-
КЦ419А2|50|10 А|1|2 (10 А)|2 (50 В)|-|-
КЦ419Б|100|2 А|1|2 (2 А)|2 (100 В)|-|-
КЦ419Б1|100|5 А|1|2 (5 А)|2 (100 В)|-|-
КЦ419Б2|100|10 А|1|2 (10 А)|2 (100 В)|-|-
КЦ419В|200|2 А|1|2 (2 А)|2 (200 В)|-|-
КЦ419В1|200|5 А|1|2 (5 А)|2 (200 В)|-|-
КЦ419В2|200|10 А|1|2 (10 А)|2 (200 В)|-|-
КЦ419Г|300|2 А|1|2 (2 А)|2 (300 В)|-|-
КЦ419Г1|300|5 А|1|2 (5 А)|2 (300 В)|-|-
КЦ419Г2|300|10 А|1|2 (10 А)|2 (300 В)|-|-
КЦ419Д|400|2 А|1|2 (2 А)|2 (400 В)|-|-
КЦ419Д1|400|5 А|1|2 (5 А)|2 (400 В)|-|-
КЦ419Д2|400|10 А|1|2 (10 А)|2 (400 В)|-|-
KЦ419Е|500|2 А|1|2 (2 А)|2 (500 В)|-|-
КЦ419Е1|500|5 А|1|2 (5 А)|2 (500 В)|-|-
КЦ419Е2|500|10 А|1|2 (10 А)|2 (500 В)|-|-
КЦ419Ж|600|2 А|1|2 (2 А)|2 (600 В)|-|-
КЦ419Ж1|600|5 А|1|2 (5 А)|2 (600 В)|-|-
КЦ419Ж2|600|10 А|1|2 (10 А)|2 (600 В)|-|-